No.,종목명,기준,시장,자산총계,자본금,자본총계,매출액,영업이익,순이익
786,이수화학,202312,유,661854,113614,308381,1381604,-24190,-107301
787,두산,202312,유,4914618,123738,3030203,987053,24587,-111873
788,HJ중공업,202312,유,2885617,416371,341409,2161266,-108230,-113492
789,이아이디,202312,유,260670,50877,194282,116325,-4507,-118949
790,삼부토건,202312,유,472935,204259,101506,522983,-85929,-124335
791,태광산업,202312,유,3724818,5567,3166894,2024741,-69864,-138196
792,HD현대미포,202312,유,4932725,199711,1954260,4001292,-166215,-145185
793,CJ CGV,202312,유,1961705,61216,628458,773326,8567,-149182
794,신세계건설,202312,유,1258716,20000,116959,1502628,-187781,-158502
795,대유플러스,202312,유,55400,63227,-120653,33164,-21901,-163366
796,SUN&L,202312,유,492626,12608,228271,243050,-28598,-167831
797,효성화학,202312,유,2125586,18959,635449,2011884,-66565,-177957
798,하이브,202312,유,3692687,20826,2323789,614079,25856,-190006
799,엘앤에프,202312,유,3301288,18124,1105375,4600044,-224140,-192392
800,롯데관광개발,202312,유,1713009,37887,90118,198111,-75615,-230290
801,동국홀딩스,202312,유,699024,271067,670269,15622,-14991,-276404
802,SK스퀘어,202312,유,7361687,14147,6795683,177597,94005,-314171
803,한화솔루션,202312,유,16329364,888569,7708189,7305296,21556,-316114
804,에스디바이오센서,202312,유,2852917,62239,2787236,291658,-152822,-331002
805,GS건설,202312,유,13372598,427907,4216754,9377834,-709423,-580882
806,티와이홀딩스,202312,유,1023883,25836,259991,69696,-509440,-609984
807,한국가스공사,202312,유,53823703,461565,7193158,42832510,1200275,-881226
808,태영건설,202312,유,3299725,20101,-635562,3237971,-39139,-1600747
809,LG디스플레이,202312,유,29732412,1789079,5681555,19811015,-3884121,-1718701
810,한국전력,202312,유,138838342,3209820,18657092,85825593,-6503918,-3249233
811,SK하이닉스,202312,유,92949387,3657652,54518322,27639997,-4672124,-4836170
